1 net profit / total assets,2 total liabilities / total assets,6 retained earnings / total assets,5 [(cash + short-term securities + receivables - short-term liabilities) / (operating expenses - depreciation)] * 365,8 book value of equity / total liabilities,9 sales / total assets,10 equity / total assets,12 gross profit / short-term liabilities,13 (gross profit + depreciation) / sales,16 (gross profit + depreciation) / total liabilities,17 total assets / total liabilities,19 gross profit / sales,21 sales (n) / sales (n-1),23 net profit / sales,24 gross profit (in 3 years) / total assets,25 (equity - share capital) / total assets,26 (net profit + depreciation) / total liabilities,27 profit on operating activities / financial expenses,29 logarithm of total assets,34 operating expenses / total liabilities,38 constant capital / total assets,46 (current assets - inventory) / short-term liabilities,51 short-term liabilities / total assets,55 working capital,64 sales / fixed assets,65 Bankrupt
0.069929,0.58907,0.19982,-16.807,0.66959,1.053,0.39444,0.15827,0.046773,0.17972,1.6976,0.039395,1.5165,0.030894,0.24357,0.39444,0.14706,0.50428,4.3325,0.18401,0.42009,0.83202,0.56342,6300.2,15.763,0
0.13142,0.49861,0.20327,0.093287,0.94265,1.137,0.47002,0.34988,0.12843,0.42176,2.0056,0.10064,1.4529,0.080262,0.25365,0.47002,0.35484,1.1053,5.0356,0.31925,0.49765,0.99992,0.47098,24704.0,5.4317,0
0.097027,0.26791,0.0859,46.435,2.7326,1.1078,0.73209,0.56364,0.14003,0.57899,3.7326,0.11674,1.2665,0.087586,0.0,0.3202,0.45846,503.35,5.5671,2.8206,0.77056,1.8836,0.22944,2.6381,2.8066,0
-0.01236,0.44718,0.14693,-15.911,1.12,0.99133,0.50085,-0.028745,0.045075,0.22201,2.2362,-0.005612,0.82701,-0.005612,0.1966,0.50085,0.22201,-0.019545,4.2828,-0.009711,0.51805,0.78508,0.42998,3013.9,5.3347,0
0.015229,0.31623,0.21689,-79.379,2.078,0.9811,0.65712,0.07081,0.071485,0.26986,3.1623,0.016197,1.1564,0.012757,0.22082,0.65712,0.25687,-0.20607,4.0725,-0.079292,0.70028,0.23955,0.27307,1103.6,1.8843,0
0.19299,1.1992,-0.95381,-39.146,-0.24284,1.0406,-0.29122,0.37217,0.09974,0.2799,0.83387,0.076778,1.2761,0.057345,-0.96826,-0.29122,0.22537,0.86212,3.5756,0.2325,0.21372,0.51882,0.69428,-17.53,10.843,0
0.017567,0.66592,0.017567,-45.899,0.42748,1.0884,0.28466,0.047068,0.027773,0.085299,1.5017,0.012439,0.0,0.008589,0.025441,0.28466,0.073475,0.26962,4.8532,0.076086,0.41007,0.56578,0.54051,-2261.4,4.1637,0
0.37747,0.33765,0.84574,93.972,1.8663,1.3743,0.63014,1.1927,0.31008,1.2221,2.9616,0.28365,1.2117,0.28365,0.84574,0.63014,1.2221,3.9344,4.6148,1.1283,0.65131,1.7752,0.31649,17201.0,5.0045,0
0.050978,0.70647,0.077842,-71.33,0.31079,1.0238,0.21957,0.093125,0.059905,0.17267,1.4155,0.031628,1.0468,0.025034,0.099343,0.21957,0.15367,0.35197,4.1511,0.099091,0.23443,0.44868,0.69161,-2514.3,4.1905,0
0.09808,1.507,-0.10527,-232.8,-0.40669,1.0412,-0.61286,0.065518,0.079624,0.095163,0.66358,0.054665,0.83235,0.054456,-0.10485,-0.61286,0.094914,0.52288,4.2722,0.060023,-0.60862,0.27552,1.5027,-17810.0,4.0118,0
0.13182,0.23664,0.13182,55.023,3.1778,1.1953,0.75199,0.67059,0.11916,0.87357,4.2258,0.075986,0.0,0.075986,0.13182,0.75199,0.87357,0.99146,4.627,0.60809,0.79206,2.0972,0.19657,17236.0,4.3748,0
0.060362,0.47234,0.060362,-2.1432,1.1168,1.026,0.52752,0.24226,0.076711,0.371,2.1171,0.036199,0.0,0.026424,0.082692,0.52752,0.32373,0.43196,3.9602,0.20361,0.65852,1.0098,0.34134,1577.9,4.703,0
0.093584,0.27385,0.25933,140.0,2.4245,1.1184,0.66395,0.42414,0.17193,0.67094,3.6517,0.10868,1.0968,0.08757,0.32177,0.66395,0.58854,1.1604,5.1459,0.4049,0.66395,2.2631,0.27385,51504.0,2.9842,0
0.12603,0.11675,0.35976,137.07,7.1957,1.0745,0.84011,1.4089,0.093008,1.5884,8.5652,0.079284,1.0365,0.063205,0.46042,0.84011,1.3138,0.7781,4.4274,1.2367,0.84465,7.3845,0.11221,21914.0,29.029,0
0.006784,0.43792,0.0,-4.7486,1.2835,2.641,0.56208,0.017263,0.013555,0.081751,2.2835,0.002569,0.85962,0.002569,0.04332,0.55998,0.081751,1.1835,4.377,5.9573,0.58314,0.94425,0.39297,10969.0,18.02,0
0.12903,0.092665,0.0,47.415,9.7915,2.2932,0.90733,1.8641,0.1035,2.5613,10.792,0.070074,0.0,0.056266,0.1607,0.24996,2.2196,18.762,4.0853,22.907,0.91276,4.1312,0.086206,4528.0,4.2333,0
0.09701,0.33917,0.51961,-8.9767,1.9484,1.545,0.66083,0.44142,0.088699,0.40406,2.9484,0.073495,1.0204,0.062788,0.26181,0.64603,0.35528,25.935,6.8854,4.185,0.74276,0.92304,0.25724,2.1731,3.5036,0
0.080258,0.16186,0.12168,-16.218,4.9807,1.1422,0.80617,0.6726,0.16863,0.99014,6.1783,0.10673,1.3707,0.084451,0.14783,0.80617,0.85934,1.2051,6.2998,0.61948,0.81722,0.77848,0.1508,5025.3,1.1224,0
0.15046,0.44717,0.36556,12.727,0.79773,1.1062,0.35672,0.68553,0.11553,0.50516,2.2363,0.10814,0.93324,0.076951,0.52753,0.35672,0.36877,1.0474,5.7205,0.414,0.49544,1.2366,0.30845,69303.0,3.4938,0
0.29876,0.57026,0.74866,16.213,0.72329,1.1167,0.41246,0.64787,0.1089,0.66954,1.7536,0.10532,1.2712,0.085214,0.92641,0.41246,0.54593,1.1649,5.4537,0.64135,0.41278,1.2501,0.56994,59174.0,15.801,0
-0.014139,0.52464,-0.011726,-22.711,0.90607,1.0037,0.47536,-0.026946,0.008947,0.039612,1.9061,-0.005487,1.0587,-0.006087,-0.006493,0.47536,0.036956,0.041071,4.802,0.018117,0.52702,0.70311,0.47298,8798.9,5.9838,0
0.084412,0.89772,0.0,-9.9949,0.11394,3.4781,0.10228,0.099191,0.026273,0.10179,1.1139,0.02427,1.2612,0.02427,0.12106,0.084412,0.10179,3.4474,4.2307,3.7594,0.14899,0.8999,0.85101,148.67,24.8,0
0.007475,0.92009,0.0,-46.586,0.086852,3.0668,0.079912,0.01419,0.003275,0.010916,1.0869,0.002437,1.0559,0.002437,0.013305,0.036233,0.010916,0.0,3.8938,2.6364,0.44783,0.46129,0.52677,-382.53,5.8743,0
